company_name,company_profile_url,website,company_hq,US HQ State,US HQ City,year_founded,Tier,Prospecting Notes - focus on B2C telemarketing & collection recovery,USP,languages,size_employee_count,AI,Innovation Arm? (Y/N),core_offering,other_services,client_industries,client_size,channels_supported,delivery_model,onshore_delivery_footprint,nearshore_delivery_footprint,offshore_delivery_footprint,notable_clients,enterprise_clients,service_lines,company_name_source,notes,qualified,Geo Segment,Collections?,LinkedIn 1st Degree Connection?,Connection Name(s),Connection Role(s)
ADEC Innovations,,https://www.adec-innovations.com,United States,California,Irvine,1996,Tier 1,"Great prospect. US based leadership. Medium BPO score. Outbound services offered.

They're headquartered in Irvine, CA, have 3,000+ employees across delivery centers in the Philippines, Colombia, Kenya, South Africa, Egypt, Ireland, and the USA

Revenue $678 million. Global Outsourcing 100® leaders (IAOP)
","ADEC is a mid-size, purpose-driven BPO with a distinctive ESG/sustainability angle. Strong in healthcare and CX, with a genuinely global delivery footprint. AI is surface-level marketing — they're a people + process operation, not a tech-led one. No collections capability.","Their multilingual capabilities are a key differentiator: Enlish as well as French, Italian, German, and Spanish","Mid Market (1,000–5,000 employees)","6/10 Marketing-level AI references, not AI-first. They reference ""advanced technologies, including RPA and AI"" in marketing copy.  They have a brand called ""Ascentify"" and reserved the domain adec-innovations.ai, but there's no substantive evidence of proprietary AI products or AI-first thinking",yes (i.e. https://www.linkedin.com/in/wildeben/) ,KPO,contact center,"FMCG, Financial Services, Government/Cities/Communities, Healthcare, Logistics, Marine, Private Equity, PEO, Real Estate & Development, Retail & Apparel",Enterprise (>$1B),omni-channel,"onshore, nearshore, offshore",California | New York,Colombia,"Philippines (Cebu), Kenya, Egypt, South Africa. Presence spans five continents — Asia, Australia, Europe, Africa and North America","Nike, Levi's, General Mills, and Marvell",Yes,"1) Customer Experience / Contact Center (CX) 2) Finance & Accounting 3) HR Outsourcing 4) Healthcare BPO (medical coding, claims, patient data) 5) ESG & Sustainability consulting/data management 6) Environmental Risk, Compliance & Assurance 7) Supply Chain Transparency (CleanChain platform) 8) Knowledge Management / Data Management 9) Ancillary/Back Office Services",Everest/IAOP/NelsonHall Lists,"ADEC Innovations is a provider of global business services and ESG solutions, offering business process outsourcing, sustainability consulting, and environmental risk management to governments, coalitions, and enterprises worldwide.",Y,Segment 2,N,No,,
ACC Premier,https://clutch.co/profile/acc,http://www.americancustomercare.com,United States,Connecticut,Bristol,1986,Tier 1,A good prospect. They have a specified outbound division and are investing in AI solutions and most of their team are US based,"Position themselves as premium, dedicated-team customer care for well-known consumer brands (CPG, food & beverage, wine, healthcare, DTC retail).",English + Spanish only,"Mid Market (1,000–5,000 employees)","7/10 APO score

They've developed a ""proprietary AI offering"" that includes skills-based predictive routing, automated QA across 100% of contacts via AI-enabled analysis, agent assist with automated engagement summaries, and automated voice/chatbot customizations accpremiere. 

Built on Genesys Cloud CX platform with in-house systems admin team for customization. Their philosophy: ""the center of all AI for the contact center remains 'H.I.' or Human Intelligence"" accpremiere — AI as agent augmentation, not replacement. Verdict: Genuinely AI-integrated at the operational level (QA, routing, agent assist), but not AI-first. A pragmatic AI adopter with a human-centric philosophy.",No,contact center,KPO,"Healthcare/medical interpretation is clearly the heaviest vertical but also Real Estate, Hospitality (guest experiences, bookings), Tech Support, and Retail ",Enterprise (>$1B),omni-channel,"onshore, nearshore",20 US states remote,Costa Rica,,Johnson & Johnson,Yes,"BPO, Call Center, Customer Service Outsourcing, Inbound Services, Answering Services, Virtual Receptionist, Outbound Services, Customer Surveys & Market Research Calls",Clutch,"American Customer Care offers a comprehensive suite of customer contact center solutions designed to help solidify and enhance your relationship with existing customers, as well as acquire new ones. They have the insight, adaptability, technology, capacity, and know-how to personally interact with your customers via any channel.",Y,Segment 2,N,No,,
AZPIRED,https://clutch.co/profile/azpired,https://www.azpired.com,Philippines,Nevada,Las Vegas,2006,Tier 1,"May be a tricky one! CEO Almira Absin publicly stated customers still prefer talking to humans over AI-generated responses. No AI products, no automation strategy, no chatbots.

They have no US delivery but they have a corporate address and CEO appears to be based in Nevada https://www.linkedin.com/in/almira-absin-83b072148/

No Collections but outbound is a core service offering

Operates dual brands: Azpired (Philippines entity) and eBusiness BPO (US-facing). ","Claims to be the biggest privately-owned, homegrown BPO company in the Philippines.

Cost-efficiency positioning

Core strengths: inbound customer service, technical support, outbound sales, and accounting/CPA services for US/Canada/Australia markets. PCI and ISO 27001 certified. No AI — traditional voice-heavy operation.","English (serving English speaking markets - US, Canada, Aus, NZ)","Mid Market (1,000–5,000 employees)","Low APO Score. CEO Almira Absin publicly stated customers still prefer talking to humans over AI-generated responses. No AI products, no automation strategy, no chatbots. Traditional voice-heavy BPO operation.",,contact center,"IT-BPM, KPO","Retail, Financial Services, Healthcare, Communications, Travel & Entertainment",Small Business (<$10M),omni-channel,100% Philippines,Philippines,No,,,No,"BPO, Call Center, Outbound Services, B2C Telemarketing & Telesales",Clutch,"AZPIRED is a leading Philippines Call Center and Cebu BPO delivering cost-efficient, high-performance outsourcing solutions to clients across the United States, Canada, Australia, and global markets. Leveraging advanced technologies and deep industry expertise, we help organizations streamline operations, elevate customer experience, and maximize ROI. As a PCI-Compliant Contact Center and ISO 27001-Certified BPO, AZPIRED provides secure, reliable, and scalable 24/7 Customer Support and Technical Support Outsourcing tailored to the evolving needs of modern businesses.",Y,"Segment 3, Segment 5",N,No,,
"Boldr, Inc.",https://clutch.co/profile/boldr,https://www.boldrimpact.com,United States,California,Long Beach,2016,Tier 1,"An interesting prospect for us. 

No explicit standalone outbound lead generation service but they have a strong US focussed client list and a tech savvy leadership team

https://www.linkedin.com/in/davidsudolsky/ - US based tech savvy founder (ex-Enshored President) and I could possibly get a reply from their CRO through mutuals https://www.linkedin.com/in/gregorypcollins/

1500+ team members. Publicly committed to ""growing slower"" rather than scaling recklessly.

Slightly cautious on AI. Have released a manifesto with 7 principles that: inform how we scope AI pilots, structure team transitions, and define success. They are tracked through a designated internal governance team and embedded in Boldr’s AI rollout across clients and internal functions. AI must enhance the dignity, security, and agency of the people it touches.","World's largest B Corp-certified BPO and the first B Corp BPO in the Philippines. Purpose-driven, ethical outsourcing model ""Boldr Economics

Not the cheapest option (living wage commitment means higher costs than pure labor-arbitrage BPOs) but targets values-aligned clients who prioritize quality and ethics over lowest price. ",English | Spanish | Filipino,"Mid Market (1,000–5,000 employees)","Medium APO score. They have delivered an AI manifesto which feels cautious: https://boldrimpact.com/boldrs-ai-manifesto

They inform how we scope AI pilots, structure team transitions, and define success. They are tracked through a designated internal governance team and embedded in Boldr’s AI rollout across clients and internal functions. AI must enhance the dignity, security, and agency of the people it touches.",,contact center,KPO,"eCommerce (strong — Brooklinen, UrbanStems, Floyd, Caraway, Feather), SaaS (Interfolio, Meetup, KnowledgeOwl), Healthcare/HealthTech (ShiftMed), Media/Entertainment (NBCUniversal), Food Tech (Afresh), Consumer Products (BabyBjörn), EdTech (Mentor Collective), Social/Community platforms (Meetup, Kindred). Leans heavily toward DTC eCommerce and SaaS/tech companies",Mid Market ($10M-$1B),omni-channel,"onshore, nearshore, offshore",California,"Mexico, Canada",Philippines | South Africa,,Yes,"Managed Outsourcing, Employer of Record (EOR), Global Recruiting, Customer Support/CX (Tier 1-3), Technical Support, Support Engineering, Finance & Accounting, Data Services, AI Strategy & Implementation, eCommerce operations, SaaS support. Technology-agnostic — works with client's preferred platforms.",Clutch,"Boldr believes talent is equally distributed, but opportunity is not. It is changing that paradigm, building global teams through ethical talent outsourcing. As the first and largest global B Corp Certified BPO and the first B Corp Certified BPO in the Philippines, Boldr is committed to social and environmental responsibility.",Y,"Segment 2, Segment 4, Segment 5",N,No,,
Buwelo,https://www.outsourceaccelerator.com/company/buwelo/,https://www.buwelo.com,United States,Nevada,Las Vegas,2010,Tier 1,"Decent prospect who is growing fast. A traditional BPO but with a number of US based execs (i.e Spencer https://www.linkedin.com/in/spencer-jenson-5b342029/) and Mark https://www.linkedin.com/in/mark-d-angola-29b8736/ - VP ops

Would be really useful to talk to https://www.linkedin.com/in/dustinmcarter/ as he is an advisor focusing on strategic partnerships. CCO has been there 10 years https://www.linkedin.com/in/jim-charles-64a98a96/

They have dedicated outbound services: https://www.buwelo.com/sales-support

c. 2000 employees. operating across 6 countries. Rapildy expanding (adding Ghana & DR)

",Nothing standout,20+ languages,"Mid Market (1,000–5,000 employees)",Low on APO score. No mention of AI.,,contact center,KPO,"Healthcare & Pharmacy (strong — RCM, patient care, prior authorizations, medical billing), Retail & eCommerce, Health & Wellness, Warranty, Home & Consumer Services, Financial & Banking.",Enterprise (>$1B),omni-channel,"nearshore, offshore",,Colombia | Dominican Republic,Philippines | Portugal,,Yes,"Customer Care (inbound/outbound), Revenue Cycle Management (prior auths, benefits investigation, insurance verification, medical billing), Patient Care (Rx refills, intake, appointments, enrollments, claims, appeals/denials), Payment/Order Processing (PCI-DSS certified), Tech Support (Tier 1-2, 24/7), Email/Chat/Text Support, Back Office (data entry, research, clerical), Programming & Development, Sales Support, Appointment Setting.",Outsource Accelerator,"Buwelo is a US-based multinational BPO company specializing in customer care outsourcing, building and managing high-performance teams across global locations including the Philippines. It provides multi-channel customer experience and back office solutions with a focus on low attrition, superior talent, and cost savings.",Y,"Segment 1, Segment 5",N,No,,
CBE Companies,https://clutch.co/profile/cbe-companies,https://cbecompanies.com,United States,Iowa,Cedar Falls,1933,Tier 2,"A decent prospect. They have a fully dedicated collections business but no telemarketing. Their leadership team and 50% of their full team is US based with the rest in Philippines. Low APO score.

They fall under three brands: CBE Group (collections focussed), CBE Customer Solutions (CX/BPO), and LocateSmarter (skip-tracing data). Same leadership team.

One of the oldest BPOs in the US. 1200 employees in total. Uses US remote workforce.

A relevant exec, SVP Business Intelligence & Consumer Engagement: https://www.linkedin.com/in/jeff-stewart-8302396b/","Mid-market, private, Iowa-based ARM & BPO. Core strength is compliant government/regulated-industry collection",English & Spanish,"Mid Market (1,000–5,000 employees)","Low APO score. No proprietary AI platform or named AI product. Tech stack is standard (Salesforce, HubSpot).",,contact center,,"Government (federal & state — core vertical), Healthcare, Financial Services/FinTech, Telecom, Utilities, Higher Education/EdTech, Retail & eCommerce.",Mid Market ($10M-$1B),omni-channel,onshore,Iowa,,Philippines,no,Yes,"ARM/collections (1st & 3rd party), customer care/CX, fraud detection & security, back-office support, skip tracing/data analytics (LocateSmarter), specialized/dispatch services",Clutch,"Founded in 1933, CBE Companies is a global provider of outsourced call center solutions. Our ability to constantly adapt, evolve and stay ahead of the regulatory environment sets us apart from other providers. This sustained focus on thought leadership and continual investment inevitably benefits all of our clients by delivering performance excellence and mitigating present and future risk. Global provider of outsourced call center solutions focused on connecting people to solutions.",Y,Segment 2,Y,Yes,"Albert Smothers, MBA, Ph.D.",Chief People Officer at CBE Companies
Clark Outsourcing,https://www.outsourceaccelerator.com/company/clark-staff/,https://clarkoutsourcing.com/,United States,Florida,St. Petersburg,2003,Tier 2,"An ok prospect. They serve SBMs but do have an outbound service line. American-owned, Philippines-operated. They also have an RPO (Clark Staff). Low APO score. Industry agnostic

Recently expanded into Georgia (country). c.300 employees. Small operator with sub $20m in revenue.

Russel is their co-founder https://www.linkedin.com/in/russellmeiselman/ based in Florida","Transparent, honest offshore staffing partner for SMBs. ""Your Success is Our Success."" Priced 10–20% cheaper than competitors (cheaper than Manila).",English ,"Mid Market (1,000–5,000 employees)","Low APO score. No AI capability. No proprietary AI tools, no AI-powered services, no automation platforms. Blog references cloud-based BPO tools (Zendesk, Five9, TalkDesk, NICE CXone etc.) but these are client-provided platforms, not Clark Staff's own tech. Infrastructure is cloud-based (servers, fiber optic, CRMs, dialer systems) but standard, not AI-differentiated.",,contact center,"KPO, IT-BPM",Industry agnostic,Mid Market ($10M-$1B),omni-channel,"onshore, nearshore, offshore",Florida,"Tbilisi, Georgia",Philipines,No,Yes,"Remote Staffing (core service — recruit, screen, employ, manage HR/IT/admin), Call Center Services (inbound/outbound), Seat Leasing (office space + infrastructure rental), Build-Operate-Transfer (BOT — set up client's own offshore entity then transfer ownership), RPO (Recruitment Process Outsourcing), Digital Marketing, Web Development, App Development, Medical Outsourcing (billing/transcription), Software Development, Back-Office Support",Outsource Accelerator,"Clark Staff is an American-owned remote staffing and BPO company with over 60 years of collective management experience, helping small to mid-sized businesses build and manage global remote teams since 2003.",Y,"Segment 2, Segment 4, Segment 5",N,No,,
Clearsource Bpo,https://www.outsourceaccelerator.com/company/clearsource-bpo/,https://www.clearsourcebpo.com,United States,Utah,Sandy,2008,Tier 1,"A great prospect. US tech savvy leadership team. Decidated outbound services. APO medium

2000 employees, c.$250m revenue. They have onshore (Utah) and offshore (PH) delivery. 

Leadership based in US: https://www.linkedin.com/in/dougadebolt/

Could probably get a reply from CMO https://www.linkedin.com/in/doncrow/

Good prospect https://www.linkedin.com/in/jen-hanel-37a7081b/

Co-Founder - looks personable https://www.linkedin.com/in/natespears/","Privately held global BPO focused on exceptional customer experience, blending tech and human support",English,"Mid Market (1,000–5,000 employees)",Medium APO score. They already use AI for agent assist and other services. https://clearsourcebpo.com/technology-at-clearsource-why-clearsource/,N,contact center,"IT-BPM, KPO","home warranty, healthcare, MLM, renewable energy, gaming/streaming, consumer services, lifestyle, e-commerce & direct sales.",Mid Market ($10M-$1B),omni-channel,"onshore, nearshore, offshore",Utah,,Philipines,No,Unavailable,"outsourced customer care, technical support, revenue generation support, data entry/managed services, back-office, consulting analytics, workforce solutions.",Outsource Accelerator,"ClearSource BPO is a customer experience company providing outsourced customer care, technical support, back-office services, and technology solutions including AI and machine learning to optimize customer journeys and drive loyalty.",Y,"Segment 2, Segment 5",N,No,,
Contact Point 360,,https://contactpoint360.com,Canada,Ontario,Toronto,,Tier 1,"An Enterprise global BPO. 5,000+ employees across 8+ locations. High on APO score with their own suite of AI tools including conversational AI. 

They explicity offer both collections & telemarketing. HQ is Canada but US based leaders i.e Irine in Florida https://www.linkedin.com/in/irene-saites-marciniak/ 

They have an AI/strategic growth advisor https://www.linkedin.com/in/tonyaiello1/",Foused on outcomes not headcount. AI + human execution,31+ languages,,"High APO score. Embedded in operations and offerings: proprietary AI tools (RTAA, conversational AI, workforce optimization, training AI, analytics) integrated into agent support, quality, recruiting, and CX workflows. 
",Y,,,"broad: Healthcare, Telecom, Retail & e-commerce, Technology, Travel, Utilities, Financial Services, Energy, Insurance, Home Warranty, Government
",,,"onshore, nearshore, offshore","US (McAllen, TX); Canada (Toronto, Montreal)","Mexico (Monterrey); Colombia (Bogotá, Barranquilla); Jamaica (Montego Bay); El Salvador","Philippines (Cebu); India (Bengaluru, Kerala); Greece (Athens); Egypt (Cairo); South Africa (Durban)",,,"Full BPO stack including Inbound & Outbound Contact Center, Sales Outsourcing, Technical Support, Helpdesk, Customer Care, Back-Office, CX Consulting, Workforce Management, Omnichannel Support, Digital Marketing, AI analytics, Digital Transformatio",,,,,Y,Yes,Ramesh Nair,"Sr. Manager, Strategic Alliances & Growth at ContactPoint 360"
"DATAMARK, Inc.",https://clutch.co/profile/datamark,https://datamark.net,United States,Texas,El Paso,1989,Tier 1,"A very good prospect - services large ent clients, 4,000 employees with dedicated outbound services. Onshore (TX), nearshore (Mexico) and offshore (India) delivery.

That said, they have developed two proprietary agent assist AI tools in house. Generative AI Knowledge Base answers agent questions in real-time, while DataScribe transcribes and summarizes calls. 

Recently Recognized as a Major Contender in CXM by Everest Group","Serving Large Enterprise clients. Honored as a Major Contender in the Everest Group PEAK Matrix™ for CXM Services in the Americas,
a recognition of our innovation and people-powered excellence.",25+ languages,"Mid Market (1,000–5,000 employees)","High APO score. 

Actively built proprietary AI tools: DataSmart (AI knowledge base) and DataScribe (real-time transcription & summaries) embedded into operations to enhance agent performance and CX
",N,contact center,KPO,"Broad: Healthcare, Banking & Finance, Insurance, Transportation & Logistics, Government, Telecom, Retail, Consumer Electronics",Enterprise (>$1B),omni-channel,"onshore, nearshore, offshore",Texas,Mexico,India,Enterprise/Fortune500,Yes,"Omnichannel Contact Center, Customer Service, Technical Support, IT Help Desk, Interpretation & Translation, Loyalty Program Support, Back-office BPO, Data Capture, Business Process Reengineering, Document Lifecycle & Digital Mailroom Services",Clutch,"DATAMARK, Inc. is a leading BPO company headquartered in El Paso, Texas. They serve Fortune 500 companies, government agencies and other large enterprises at their delivery centers worldwide, including the U.S., Mexico and India. DATAMARK provides a wide range of outsourced back-office services, including bilingual (English/Spanish) customer contact centers; high-volume digital mailroom management; document processing and document management; and process improvement consulting.",Y,"Segment 2, Segment 4",N,No,,
Direct Interactions,https://clutch.co/profile/direct-interactions,https://directinteractions.com,United States,Washington,Seattle,2004,Tier 2,"Not a great prospect. Low APO score, heavy on non-profits and gov clients (Red Cross/Peace Corps), no explict mention of outbound services. 

US only - remote agents across all states. ","US-based BPO / contact center services provider focused on work-from-home customer service experts that support non-profits, government agencies, and technology clients. Privately held, founded around 2004 in Seattle, Washington.",English,"Mid Market (1,000–5,000 employees)",Medium APO score. Reference to AI but no clear products,N,KPO,,"Public Sector, Technology",Mid Market ($10M-$1B),voice only,onshore only,United States,,,"Red Cross, Peace Corps",Yes,"Customer service, customer support, virtual call center services, chat/text/email support, scheduling, social media support, disability-focused support, public sector support, and tailored “myDI” concierge offerings.",Clutch,"We're a fast-growing BPO based in Seattle with employees in every state. We operate customer service teams that work from home. Our clients include large non-profits, governments, and high growth technology companies.",Y,Segment 2,N,No,,
Etech Global Services,https://clutch.co/profile/etech,https://www.etechgs.com,United States,Texas,Nacogdoches,1997,Tier 2,"A good prospect. 5,000 employees. medium APO score

Collections + outbound offerings.

COO based in Texas: https://www.linkedin.com/in/keckels/ and is an evangelist of outcome based work: https://www.linkedin.com/posts/keckels_contactcentertransformation-customerexperience-activity-7425185479387455488-IZbB?utm_source=share&utm_medium=member_desktop&rcm=ACoAABK1uxsBFTkrJv7z3vObH1wU8TZUQnyzHGw","Trusted by Fortune 500 brands. AI-powered analytics across voice, chat, and email.",20+ languages,"Mid Market (1,000–5,000 employees)","Embedded use of AI/automation in workforce optimization, virtual assistants, analytics, and conversational AI. offered as integrated capabilities rather than standalone SaaS. AI is used operationally to improve agent performance and CX.",,contact center,"IT-BPM, KPO","broad: Telecom, Healthcare, Tech, Retail & Commerce, Finance/FinTech, Utilities, Government, Insurance, Travel & Hospitality",Enterprise (>$1B),omni-channel,"onshore, nearshore, offshore",Texas,LATAM | Jamaica,India | Philippines ,,Yes,"Inbound & outbound contact center, customer care, technical support, sales & retention, back-office processing, digital solutions, CX consulting, social & digital support, workforce management",Clutch,"Etech Global Services is a servant leader organization committed to making a remarkable difference for each other, our customers, and within our communities. Etech offers a variety of services that includes inbound and outbound customer care, quality monitoring and analytics, email, live chat, technical support, back-office support, and software development.",Y,Segment 2,Y,No,,
First Contact BPO,https://www.outsourceaccelerator.com/company/first-kontact-call-center/,https://www.firstcontactbpo.com/,United States,Florida,,2008,Tier 2,To discuss: SME. c.300 employees. Founded in 2023. CEO is based in Miami but employees all in Colombia https://www.linkedin.com/in/pablopazhernandez/ ,"Newly founded BPO (2023) positioning itself as a quality-centric, nearshore/remote outsourcing partner with a people-first approach",English ,"Mid Market (1,000–5,000 employees)",,,contact center,"IT-BPM, KPO",,Mid Market ($10M-$1B),omni-channel,offshore,,,Colombia,,Unavailable,"BPO, Customer Service Outsourcing, Collections Recovery Services, Customer Surveys & Market Research Calls",Outsource Accelerator,"First Kontact is a bilingual contact center providing technology-focused call center and BPO services from Tijuana, Mexico, with operations near the US border. It offers inbound and outbound services including customer service, technical support, and collections, leveraging bicultural staff fluent in English and Spanish.",Y,"Segment 3, Segment 4",Y,No,,
Flatworld Solutions,https://clutch.co/profile/flatworld-solutions,https://www.flatworldsolutions.com,India,New Jersey,,2004,Tier 2,"A good prospect. Upper end of MM (5,000 employees) Dedicated outbound service line, leaders based in US (COO in NYC) and are wanting to be AI frontrunners. Big Ent customers

Have three divisions. New Jersey, USA, is their frontline global office for sales and customer engagement. Flatworld Solutions Pvt Ltd, their Bangalore Operations Centre, and Flatworld Philippines, their Davao Operations center

They are both an IT-BPM and a BPO. As part of their IT-BPM services, they offer AI solutions (https://www.flatworldsolutions.com/data-science/conversational-ai-services.php). They don't look super sophisticated and it's not clear that they are using these tools in their own BPO offering

","AI savvy, multiple solutions",English,"Mid Market (1,000–5,000 employees)",Mid/high APO - have their own AI solutions but not cutting edge,Y,contact center,"KPO, IT-BPM","Financial Services, Healthcare, Technology",Mid Market ($10M-$1B),omni-channel,"onshore, nearshore, offshore",India,Philippines,Australia | Canada | United States,"Fujitsu, Rogers",Yes,"BPO, Call Center, Inbound Services, Answering Services, Inbound Appointment Scheduling, Virtual Receptionist, Outbound Services, B2C Telemarketing & Telesales, Customer Surveys & Market Research Calls, Third Party Verification",Clutch,"Flatworld Solutions (FWS) is a global company offering IT, Data Science, business consulting, and outsourcing solutions since 2002. The company was incorporated in 2004 with a focus on leveraging technology to help businesses streamline processes, enhance efficiency, boost productivity, improve effectiveness, save time, increase bottom lines, and negate global distances. Being in business for over 18 years, we are committed to ensuring that our clients reap the benefits of an increasingly connected world. Flatworld has earned its stripes through 14+ services for 18000+ global customers, generating millions in additional client revenue, and recruiting 5000+ employees who are efficient and enabled.",Y,"Segment 3, Segment 5",N,No,,
